	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
PJA2	4958	3183	3381	1296	4638	2688	2909	2824
PKD1	762	1077	1002	1261	760	760	1033	771
PKIG	2151	523	5327	2495	3519	2925	2365	2089
PKM	55250	31237	81970	69666	36399	58423	65593	47385
PKN1	4869	2936	5611	7568	5009	5033	6117	4529
PKN2	1382	1507	821	624	528	491	951	1531
PKN3	610	612	1176	715	465	934	1359	369
PKNOX1	549	416	695	564	611	594	601	543
PLA2G15	201	129	291	258	357	264	304	369
PLA2G6	206	283	412	534	302	349	369	466
PLAA	1701	1168	1288	1341	1654	1203	1534	1310
PLAC8	190	371	183	390	258	307	253	123
PLAGL1	1417	1206	2740	1019	2777	1629	1282	738
PLAGL2	1969	1347	2816	2875	2641	3839	4130	1731
PLBD2	318	539	365	936	653	438	462	322
PLCB2	1215	588	1287	1375	1091	1214	1826	941
PLCB3	1157	572	1438	1496	1246	1334	1145	562
PLCG1	2297	877	4413	3694	2648	5223	4960	3508
PLCG2	7606	4656	13757	6013	10966	11489	7736	9130
PLCL2	5383	1407	3818	987	1441	2122	2502	1774
PLD2	1132	842	1559	1368	614	1534	1802	577
PLD3	465	859	580	1101	687	422	657	767
PLEC	4265	2797	4577	9005	4137	4322	3742	3130
PLEK	4472	2818	17848	5557	11415	5902	5250	8380
PLEKHA2	4658	2245	7699	4542	4732	5101	6564	13259
PLEKHA3	777	341	542	506	678	455	560	568
PLEKHA7	1591	410	3599	1023	343	1985	2263	1449
PLEKHB2	763	1800	1859	1271	2100	1295	1507	1521
PLEKHF2	4138	1458	2580	979	2146	2041	1838	1316
PLEKHG1	7434	2743	9890	2718	4005	4829	7365	4637
PLEKHG2	1405	1001	1856	1573	2778	1447	2166	1222
PLEKHJ1	1464	795	1581	1897	1207	1602	1810	1235
PLEKHM1	511	391	909	799	719	686	828	639
PLEKHM2	3243	2236	5478	3898	4445	3201	4620	5562
PLEKHM3	614	430	966	544	736	742	938	783
PLEKHO1	5109	2043	8626	5382	8379	4699	5010	5645
PLEKHO2	842	522	1699	1622	3147	1192	1150	1215
PLGRKT	475	709	799	467	1117	791	686	521
PLIN2	510	206	527	780	1430	389	843	1199
PLIN3	3143	1059	5231	1930	1963	2311	2175	3126
PLK1	54	761	113	597	966	218	129	890
PLK3	572	300	791	665	1179	585	372	496
PLK4	218	797	140	301	281	340	201	548
PLOD1	407	565	539	1323	826	642	569	521
PLOD3	528	377	685	2492	812	764	956	509
PLP2	3814	2566	4192	3698	5215	5579	4601	2664
PLRG1	3048	1637	2943	1508	2676	2847	3446	1952
PLSCR1	71	1109	152	182	135	209	169	158
PLXNA1	2549	731	2856	3147	2143	926	2592	1849
PLXNA3	501	465	696	659	757	515	714	241
PLXNB2	2148	2719	1890	4875	3085	4719	1609	670
PLXNC1	995	2395	405	1177	1187	1956	383	618
PLXND1	1828	5629	1925	4473	1056	2424	844	719
PM20D2	1326	1541	777	624	508	1447	994	480
PMAIP1	8530	3775	7262	1728	2138	5265	7640	2620
PML	1613	1292	2954	2809	2108	2153	2818	3061
PMM1	507	258	1111	1209	1409	1448	946	724
PMM2	1032	900	1419	1568	1566	1224	1569	1578
PMPCA	967	693	1279	1975	1200	1200	1569	1439
PMPCB	3590	2107	3532	2111	3526	3297	2895	2389
PMS1	713	981	408	231	252	416	345	426
PMS2	513	453	765	511	802	711	655	684
PMVK	1005	434	1635	1103	1753	1342	1102	1108
PNISR	4968	5172	3661	1416	1969	2479	2485	2955
PNKD	183	1130	172	845	1047	239	203	498
PNKP	451	380	521	856	478	699	499	334
PNN	4584	4887	2842	1913	1953	2784	3151	2459
PNO1	897	653	931	917	832	1225	1560	988
PNP	1389	2200	1301	3487	1978	1689	1764	1799
PNPLA2	697	695	1039	920	814	570	743	863
PNPLA6	2823	1518	2597	4523	2553	2974	3608	1875
PNPLA8	1373	1383	627	344	837	519	392	611
PNPO	782	540	926	1272	834	1088	1103	1038
PNPT1	706	971	360	437	526	507	711	428
PNRC1	4010	9683	4088	3344	4683	2755	3321	3120
PNRC2	5175	3405	3623	1300	1932	2176	2826	3053
POC1A	141	288	218	661	403	780	342	717
POC1B	920	1011	520	375	699	666	704	447
POC5	771	328	898	263	439	530	599	655
POFUT1	1927	1482	3793	2594	2253	3939	3747	2500
POFUT2	299	231	660	336	389	343	457	459
POGK	3584	1784	5656	3437	5877	4353	4939	3285
POGLUT1	1125	1165	1049	656	1032	642	1019	1099
POGZ	2541	1577	4415	2841	5601	2810	3814	2410
POLA1	1059	1758	833	977	1093	1499	947	1131
POLA2	1094	700	1778	1740	1009	2278	1855	2073
POLB	608	373	639	569	546	1026	947	465
POLD1	621	1262	727	2472	868	1918	1090	1332
POLD2	2351	1903	2657	3287	2653	3716	3587	2796
POLD3	713	1117	659	1348	936	1728	816	1426
POLD4	2012	1130	2767	2148	2524	1874	1783	2258
POLDIP2	1972	1870	3075	3834	2933	3395	3612	2779
POLDIP3	3385	2208	5960	5039	3857	4618	5707	4187
POLE	801	2158	1452	4157	1834	4179	1655	2788
POLE3	1398	1126	1927	1918	2059	2171	2106	2640
POLE4	545	226	785	531	858	850	685	888
POLG	1920	1461	3314	3253	2778	2721	3355	2092
POLG2	771	293	759	327	374	623	590	370
POLH	926	566	1473	1507	1732	1933	1432	1468
POLK	826	734	603	239	423	382	549	499
POLL	639	471	779	749	957	980	1007	368
POLM	737	685	1643	1169	1422	1079	1489	1780
POLR1A	1147	1245	2156	2773	1540	2914	2930	1798
POLR1B	1566	1071	1903	1414	1024	1890	2424	1577
POLR1C	724	363	958	881	558	839	980	635
POLR1D	2748	1880	2427	2610	2499	3381	3649	1876
POLR1E	1895	1413	2181	1900	2012	2910	2748	1530
POLR2A	5019	5039	7693	9295	5761	7235	8115	6009
POLR2B	5862	4146	5186	2822	4618	3987	5296	3540
POLR2C	1281	836	1926	2511	1534	1612	2001	1972
POLR2D	1162	988	1573	1371	1359	1877	1751	1228
POLR2E	1952	1746	1709	3810	1304	2078	1974	2144
POLR2F	257	250	343	390	246	304	317	312
POLR2G	1091	850	1361	1442	801	1399	1181	1367
POLR2H	600	553	831	1105	628	1018	876	672
POLR2I	180	225	195	302	142	206	190	209
POLR2J	312	397	391	598	350	349	385	366
POLR2K	716	946	649	868	654	1023	914	963
POLR2L	472	405	428	659	345	395	426	489
POLR3A	1253	694	1951	1556	1434	1614	2522	1471
POLR3B	479	723	310	451	381	551	418	394
POLR3C	862	765	1087	839	641	1096	1131	761
POLR3D	631	540	1345	1193	852	1350	1415	1070
POLR3E	985	793	1323	1286	995	1179	1492	1042
POLR3F	375	310	289	197	304	340	293	228
POLR3GL	1062	395	1417	644	630	1515	1099	1480
POLR3H	769	732	1278	1259	721	926	1389	1112
POLR3K	603	418	634	893	589	924	791	797
POLRMT	1034	693	876	1713	951	1017	1348	825
POM121	1011	1318	1379	1815	1516	1479	1630	1380
POM121C	675	982	1034	1047	1028	984	1064	891
POMGNT1	1279	832	1721	2895	1571	1625	2072	1357
POMK	102	66	202	184	162	142	202	257
POMP	2339	1644	2106	3219	1600	2744	3494	1675
POMT1	371	348	544	485	523	380	419	308
POMT2	361	355	605	597	392	560	583	366
POP1	504	350	485	501	513	450	483	300
POP4	783	543	1005	1047	818	812	997	858
POP5	516	532	600	842	428	860	573	880
POP7	267	332	320	766	270	381	383	358
POR	2063	1463	2010	2910	1599	1323	2680	1458
PORCN	450	342	386	501	238	469	650	322
POT1	1412	1034	680	352	628	648	766	621
POU2AF1	5758	7125	8995	1850	2750	4011	6972	48921
POU2F1	4091	1595	2792	1563	1986	2052	2886	2442
POU2F2	2428	1060	2527	2909	8231	3169	2216	2740
PPA1	2972	7015	1364	3450	3282	3662	3568	1924
PPA2	1751	894	2053	960	1046	1700	1731	2263
PPAP2A	95	134	230	144	243	193	136	99
PPAPDC1B	1567	419	2004	953	489	1499	1330	1353
PPARA	1597	821	2581	901	1648	1240	1686	1328
PPARD	851	620	1439	985	1052	1467	1158	613
PPARGC1B	436	290	683	562	255	635	897	1083
PPAT	805	875	405	374	481	576	614	448
PPCS	1029	635	1302	695	835	722	902	1045
PPDPF	1105	1569	1299	1618	746	1304	1079	1204
PPFIA1	1208	891	1231	809	1190	871	1269	808
PPFIA3	495	145	399	266	380	319	579	158
PPFIBP2	3028	429	7678	1052	1646	2088	3247	2774
PPHLN1	1639	1739	1457	1552	1615	1223	1448	1419
PPIA	6527	11111	6057	7808	5041	6884	5815	7435
PPIB	5144	3465	5803	10864	7287	5766	7999	5629
PPID	1331	1059	1370	593	892	1094	1398	963
PPIE	1145	721	1422	1705	1051	1456	1606	1435
PPIF	2730	2721	2442	3867	2614	3690	4502	3954
PPIG	2992	3265	1757	978	1498	1641	1744	1559
PPIH	1281	729	1143	1785	930	1729	1929	1387
PPIL1	1004	964	1141	1048	796	1584	1396	1340
PPIL2	809	818	1060	1561	931	1242	1146	1294
PPIL3	568	470	490	541	553	625	256	576
PPIL4	1701	843	889	460	673	784	915	756
PPIP5K1	383	562	1018	743	1109	701	638	632
PPIP5K2	1631	1931	707	463	749	571	1043	986
PPM1A	4224	3519	3588	4627	7039	3501	4511	2684
PPM1B	2782	1521	2193	1375	1853	1783	1944	1703
PPM1D	386	277	443	436	486	450	366	361
PPM1F	527	654	801	851	1004	856	733	711
PPM1G	4417	3191	6883	8223	6240	8205	6240	5106
PPM1K	7424	3457	6831	3210	3594	5251	6355	9176
PPM1M	2840	1361	6453	1809	3614	3417	2817	1199
PPME1	822	539	1329	1524	1330	1548	1410	837
PPOX	268	148	429	388	426	439	337	199
PPP1CA	3635	2838	4803	5268	4415	4433	3417	3620
PPP1CB	8651	5240	4814	4190	6466	4609	5546	4742
PPP1CC	7925	7154	5837	7213	4080	6565	7768	7890
PPP1R10	2007	1189	3630	2764	2782	2865	3339	1720
PPP1R11	1639	969	2404	1616	1494	1777	2097	2041
PPP1R12A	5238	5070	2372	1646	2639	1971	2446	1974
PPP1R12C	1877	1009	2056	1859	1679	1499	1907	1197
PPP1R13B	442	217	579	509	448	452	717	304
PPP1R14B	836	709	726	1108	657	754	716	418
PPP1R15A	2832	1870	7606	1782	8002	2381	2709	914
PPP1R15B	5812	4670	6795	3233	6833	4844	6861	3124
PPP1R16B	8584	3753	19180	8501	8743	10271	17909	14226
PPP1R18	2810	3078	5962	4018	6209	3745	3465	2423
PPP1R2	2360	1841	2052	795	1083	1287	1788	1480
PPP1R21	1311	639	1427	719	1104	1063	1313	963
PPP1R26	358	244	1058	239	516	489	500	291
PPP1R35	448	166	615	305	355	419	352	374
PPP1R37	260	214	357	773	405	319	322	379
PPP1R3B	447	448	457	340	547	347	539	703
PPP1R7	1902	1187	2171	1724	2429	1823	1919	2503
PPP1R8	1377	1149	2080	1563	1634	1787	1977	1603
PPP1R9B	8956	5224	12708	10293	9430	7948	9402	5893
PPP2CA	8418	5099	6465	6003	5870	6987	7558	7824
PPP2CB	551	443	621	928	744	526	733	614
PPP2R1A	6907	3144	8334	11240	11567	8096	10219	6601
PPP2R1B	1009	792	936	1335	1010	1108	1409	1009
PPP2R2A	3604	1862	2422	2012	2900	3157	3415	2061
PPP2R2D	1021	514	1512	1048	1148	971	1189	753
PPP2R3C	1084	916	593	586	924	617	738	625
PPP2R4	2102	1070	2638	2780	2371	2305	2690	3164
PPP2R5A	3468	1384	3351	1496	3054	1687	2747	799
PPP2R5B	779	203	1418	1588	909	676	1077	456
PPP2R5C	5060	3162	4437	3224	4468	4187	4745	4345
PPP2R5D	2505	1755	4162	3924	2840	3684	3955	3000
PPP2R5E	1517	1258	967	1014	1185	953	1018	1028
PPP3CA	2677	1335	1781	2214	3370	1954	1537	1196
PPP3CB	2809	1748	3181	2298	3438	2685	3184	1658
PPP3CC	1641	840	2106	1495	2060	1531	2328	1497
PPP3R1	3514	2340	3218	3425	4184	3483	4025	2937
PPP4C	1968	1339	2467	2995	2356	1938	2189	1980
PPP4R1	1003	994	1429	1470	1379	1687	1448	1138
PPP4R2	1377	934	776	737	871	776	920	814
PPP4R3A	6349	2775	4694	2901	3846	4013	4657	4166
PPP4R3B	5885	3754	3613	1949	2965	2286	3362	3072
PPP5C	979	970	1002	2693	1256	1624	1168	1385
PPP6C	2111	1334	2097	2261	2521	2524	2778	2163
PPP6R1	5675	3247	7655	9438	6017	7971	8923	6786
PPP6R2	1344	1088	1894	2388	1568	1879	2255	2218
PPP6R3	8363	6016	5677	2637	4193	5343	6776	3789
PPRC1	2224	2061	3144	4404	2297	3953	4045	2868
PPT1	2463	1275	2938	2700	3094	3484	2751	2910
PPT2	59	61	86	126	57	139	146	118
PPTC7	4165	3134	3501	2187	2740	2952	3803	2125
PPWD1	1209	893	718	402	541	580	754	647
PQBP1	764	572	1116	869	1000	796	921	864
PQLC1	731	496	1180	851	913	653	801	823
PQLC2	183	140	309	201	284	151	138	200
PQLC3	245	364	327	494	443	351	474	335
PRAF2	288	277	196	554	377	412	189	250
PRC1	1152	1615	1048	1659	1628	1497	820	1860
PRCC	2108	1124	3084	3434	3554	2453	2801	2261
PRCP	1479	1160	2022	1592	1781	1909	2079	1831
PRDM10	675	304	671	354	428	430	776	501
PRDM15	406	302	674	552	494	506	1042	1064
PRDM2	8999	3659	9723	3896	7295	6185	8339	5243
PRDM4	1782	1376	2125	1334	2069	1103	2514	1289
PRDX1	7131	3815	10036	8719	9480	9754	8521	5083
PRDX2	1786	1643	862	2651	1291	2103	982	2050
PRDX3	6176	2930	5615	3199	2091	5998	4894	3892
PRDX4	445	386	631	949	846	940	1187	467
PRDX5	1475	1931	1945	2186	2052	1340	1396	1691
PRDX6	2548	1998	3893	3059	5046	3159	4997	3992
PREB	1342	849	1944	2132	2430	1873	2231	2497
PRELID1	1126	1589	1300	1601	959	1500	1432	1169
PREP	1197	764	1492	1441	1277	1464	1236	1295
PREPL	1086	1040	791	484	774	899	873	776
PREX1	5582	2814	8763	5969	10972	6971	3322	2563
PRICKLE3	344	209	438	519	381	410	439	371
PRIM1	323	1181	328	764	572	1333	411	856
PRIM2	355	306	471	466	426	778	477	546
PRKAA1	2848	2288	1618	1368	1976	1562	1749	1525
PRKAB1	2431	1867	3541	3398	1218	4930	3508	1136
PRKACA	899	540	1242	2392	1526	1562	1309	1068
PRKACB	321	394	292	424	419	316	387	562
PRKAG1	1260	1418	1928	1858	1553	1686	1672	1686
PRKAG2	261	307	382	448	903	259	406	435
PRKAR1A	8998	4358	8632	5375	11945	6565	9608	5693
PRKAR1B	148	338	307	385	630	272	286	170
PRKAR2A	822	366	909	1233	1025	1002	1219	724
PRKCB	14973	5090	23345	6713	6518	12375	11085	11920
PRKCD	3408	1361	8229	3702	4474	4746	4227	2876
PRKCE	997	570	1396	899	2447	1160	1267	464
PRKCI	1100	505	450	458	492	475	804	417
PRKCSH	6109	4662	6608	8826	7720	7183	8765	6475
PRKCZ	269	159	555	299	660	346	371	438
PRKD2	2247	876	3535	3832	2743	3325	3609	2410
PRKD3	2307	1535	1269	807	1663	1145	1340	1655
PRKDC	6157	8058	7490	6661	6756	13072	9303	7484
PRKRA	748	699	935	808	1152	1067	1055	1086
PRKRIR	2032	1990	1133	845	893	996	1015	891
PRMT1	8215	5775	7417	12160	7309	10797	11164	6645
PRMT2	4090	1977	6994	3049	2923	3401	3572	2971
PRMT3	924	759	629	527	406	765	1024	536
PRMT5	1722	1187	2100	3596	2385	3307	3599	2371
PRMT6	811	597	1024	897	569	918	709	916
PRMT7	854	510	961	1124	521	1267	1015	1174
PRMT9	582	285	406	257	360	306	460	371
PRNP	2694	1904	1970	858	1396	1778	2087	552
PROB1	155	112	198	178	131	114	162	102
PROSC	1186	924	1607	858	1178	1513	1310	875
PROSER1	3712	3685	4431	1876	2024	4162	5887	1336
PROSER3	190	124	212	362	211	253	290	240
PRPF18	610	349	371	269	395	330	369	296
PRPF19	4433	3011	6379	7186	6477	6280	6344	4778
PRPF3	1775	1174	2321	1922	2425	1876	2293	1202
PRPF31	1840	1307	1980	3131	1612	2204	2022	2307
PRPF38A	1454	1062	1722	1456	1370	1745	1710	1471
PRPF38B	5575	3234	2494	1574	1519	1843	2690	1658
PRPF39	1577	1240	732	409	671	591	926	554
PRPF4	1321	1055	1764	2142	2015	2006	1839	1443
PRPF40A	8279	7899	3870	2427	2539	3811	3765	2870
PRPF40B	334	275	571	507	303	372	422	175
PRPF4B	3875	3480	2109	1250	1616	1789	1854	1810
PRPF6	3914	1987	5956	4213	3585	4072	4453	3582
PRPF8	7996	7353	15007	16701	12833	17461	16109	10709
PRPS1	2343	1457	3576	2815	2542	3983	3639	3785
PRPS2	1130	1213	1153	1363	1361	1816	1380	1481
PRPSAP1	733	719	989	1039	1019	958	867	1224
PRPSAP2	1370	613	1409	1135	1872	1317	1419	1185
PRR12	961	766	1598	2122	928	1289	1351	1515
PRR13	3068	2946	2736	4462	3216	3456	3601	4202
PRR14	790	616	1229	810	830	915	956	689
PRR14L	3275	1784	3185	1462	2392	2325	2831	2231
PRR3	533	489	792	871	642	935	884	776
PRRC1	1258	879	1363	1089	1761	939	1346	1724
PRRC2A	7693	6036	12739	16093	9894	13673	15305	10648
PRRC2B	6452	5283	13990	10776	9576	10897	11463	9804
PRRC2C	15904	14173	12972	9025	14151	11500	12767	9621
PRRT3	1173	739	1581	1458	942	921	1244	801
PRUNE	694	398	1239	811	1224	853	1090	1118
PSAP	4988	10665	9031	8051	12691	5116	6184	9617
PSAT1	1469	4693	1490	711	3844	3020	3686	649
PSD4	7288	2242	16643	6620	5451	6807	8698	10734
PSEN1	1803	1385	2744	1536	2317	1656	2039	1504
PSEN2	351	593	981	621	552	541	917	743
PSENEN	746	442	844	1288	814	888	862	643
PSIP1	6924	9107	3942	1902	6159	3485	3250	2208
PSMA1	4799	3033	4531	4891	4466	5658	6090	4136
PSMA2	4047	2453	3476	3285	2477	4000	5183	3293
PSMA3	1837	1453	1552	1732	1239	1992	2105	1727
PSMA4	2767	3054	2407	2854	2203	3731	4009	3295
PSMA5	6027	2869	7181	9572	7174	7947	10070	6497
PSMA6	2486	2063	2733	3400	2405	2613	2792	2517
PSMA7	4001	2553	4553	4434	3093	3798	3816	3069
PSMB1	3451	1875	4226	3330	2983	3691	3894	3359
PSMB10	2158	1182	3538	3431	1536	2645	4099	3022
PSMB2	1570	1401	1797	2675	1797	2371	2443	2105
PSMB3	3623	1678	4348	7326	3066	3930	5148	4475
PSMB4	4337	2776	6197	7895	6232	5168	5485	5175
PSMB5	3605	1556	2971	4198	2186	4457	4312	2953
PSMB6	1903	1116	2630	2876	2269	2386	2432	2528
PSMB7	2812	1653	2923	7422	3014	3558	3574	2622
PSMB8	7972	3440	9999	10527	5242	11602	11971	7901
PSMB9	3031	1517	6142	5850	3039	4999	6266	6495
PSMC1	361	679	243	429	242	297	236	279
PSMC2	3445	1947	2617	2909	1721	2936	3212	2081
PSMC3	3577	2712	4080	7166	4238	7032	5532	5022
PSMC4	3538	1463	4120	7279	3657	4522	5588	3585
PSMC5	2526	1878	3763	4228	2462	3235	2827	3180
PSMC6	1382	1217	635	699	786	749	913	589
PSMD1	3309	2423	2709	3127	3418	3063	2862	2077
PSMD10	977	664	1093	731	776	852	1008	916
PSMD11	4403	2009	4707	7760	3324	5566	5613	4869
PSMD12	1313	1126	967	1290	1278	1094	1093	868
PSMD13	3671	1968	5081	4519	4460	4426	4773	4316
PSMD14	2435	1513	1857	2165	1822	2179	2242	2057
PSMD2	5208	3222	7640	11393	6180	8066	8321	7968
PSMD3	4387	2453	5390	6705	5365	6044	7095	6212
PSMD4	6942	3705	10046	8819	11353	8248	8454	6422
PSMD5	915	680	1080	975	1105	1054	1319	1223
PSMD6	2585	1456	2413	4042	2799	2959	2916	1961
PSMD7	4884	2875	6954	5238	4396	7180	7652	4825
PSMD8	1256	1375	1609	2964	1761	1444	1660	1734
PSMD9	424	654	535	980	757	504	418	753
PSME1	17530	8339	22105	25634	11834	21469	30792	16427
PSME2	5040	3411	6847	9465	3920	9669	13146	5250
PSME3	4732	3080	6152	9424	6708	7729	8668	5550
PSME4	3357	2484	2758	2284	2589	2246	3145	2318
PSMF1	1899	1726	3375	3007	2794	2968	3683	3015
PSMG1	601	691	499	714	536	1041	806	820
PSMG2	996	941	1024	975	1262	1417	1315	1167
PSMG4	182	191	282	202	180	229	258	277
PSPC1	1356	1351	1879	2057	2101	1573	1724	2612
PSTPIP1	464	363	810	522	300	574	463	907
PTAR1	1671	1690	1067	450	828	641	1090	1201
PTBP1	5263	4567	7373	9361	5991	7855	8471	5271
PTBP2	684	485	555	583	443	624	591	438
PTBP3	7491	6972	4551	3555	5609	4687	5318	4772
PTCD2	112	164	130	105	216	172	134	119
PTCD3	2893	2316	2684	1453	2029	2374	3647	2194
PTDSS1	6932	2788	9931	6556	4148	9478	10506	7557
PTDSS2	545	405	502	713	486	566	789	329
PTEN	2630	2139	1583	1651	2259	1323	1240	1658
PTER	617	443	599	282	495	767	525	508
PTGER4	1165	615	2092	445	1726	947	833	1005
PTGES2	2501	1369	4366	2371	2995	2370	2259	2004
PTGES3	7526	8211	5972	7790	6358	8588	8077	6820
PTGFRN	72	297	257	470	26	336	1082	81
PTGIR	4375	1379	4639	2511	1037	3292	3998	1517
PTK2B	26024	5892	52980	30456	20595	27416	38023	12971
PTMA	7995	13520	6668	11621	9878	9067	8308	8916
PTMS	1875	2326	4345	2094	980	3642	1953	1917
PTOV1	1742	646	1791	2233	1194	1479	1875	1389
PTP4A1	2237	2213	1744	2362	3396	2405	2818	2333
PTP4A2	9891	5960	7681	5724	7690	5165	6433	5289
PTPMT1	290	466	377	430	273	325	341	465
PTPN1	9763	8669	18203	8640	9332	12102	16118	12827
PTPN11	7105	6717	3513	2792	3659	4376	6119	2435
PTPN12	4002	2390	2157	1419	2824	1731	1915	1787
PTPN2	1837	1480	1716	774	1224	1123	1408	1634
PTPN22	926	683	574	296	900	552	312	1208
PTPN23	1462	1048	2535	2581	2199	1922	2644	991
PTPN6	4262	2280	6733	8087	12564	5292	5288	3764
PTPN7	3082	1023	4844	3097	3266	3717	3768	2753
PTPN9	1045	804	1493	1552	1392	1611	1445	901
PTPRA	1830	1365	3100	2249	2295	2284	2794	2304
PTPRC	14861	7562	10477	3708	16755	6817	4146	6775
PTPRCAP	2565	2362	1939	3523	2342	2828	2353	3967
PTPRE	3062	938	4189	608	584	774	2415	2773
PTPRJ	3812	1972	8049	2812	3335	1820	2303	3408
PTPRS	669	70	488	1570	577	557	1130	230
PTRH2	667	543	858	634	692	812	873	701
PTRHD1	1020	398	1242	775	1025	967	1138	1202
PTTG1	267	423	341	970	593	549	365	607
PTTG1IP	2271	2148	3675	2006	3869	2102	2606	1383
PUF60	2581	1839	3123	5351	3269	3229	3836	3140
PUM1	4820	2207	5019	3188	2894	3554	4746	3216
PUM2	8606	5352	5756	4707	5569	5252	6961	5439
PURA	2865	971	1648	1130	1278	1157	1560	799
PURB	3007	2531	2629	2116	2831	2341	2826	2192
PUS1	947	1067	943	1525	873	1143	1334	1058
PUS10	488	234	333	160	319	311	321	253
PUS3	323	295	248	218	244	262	325	195
PUS7	661	626	387	454	613	502	721	403
PUS7L	607	831	264	202	300	215	394	547
PUSL1	245	143	173	351	193	279	278	249
PVRIG	166	156	208	200	146	174	311	533
PVRL1	350	300	314	455	635	193	66	657
PWP1	1663	1471	1689	1947	2249	1686	1802	1229
PWP2	1536	1072	2263	2476	1633	3083	2832	2202
PWWP2A	644	451	482	418	478	436	515	549
PXK	1984	1125	2212	1761	3572	2438	2623	1740
PXN	526	1194	574	1225	362	420	473	1658
PYCARD	88	89	123	112	80	127	80	99
PYCR1	1145	1254	1594	1914	1151	2713	2541	1422
PYCR2	2573	1861	4775	3430	2174	3973	3527	3132
PYCRL	151	146	178	363	171	172	159	283
PYGB	893	877	1252	1749	1725	1062	1418	1080
PYGO2	1862	985	3318	2259	2040	2494	2917	2192
PYROXD1	577	1438	280	217	326	221	350	297
QARS	7210	5297	10752	8027	7907	9149	10628	8495
QDPR	454	299	321	553	361	271	234	813
QKI	3746	2631	2423	3031	3030	2145	3479	1719
QPCTL	438	285	460	293	575	324	594	463
QRICH1	2525	1640	4562	4073	3669	3399	4069	3546
QRSL1	1310	549	1624	485	694	1419	934	1142
QSER1	1027	1049	663	433	595	611	683	576
QSOX1	4418	3832	5676	4035	1379	4846	3599	10644
QSOX2	1077	657	1887	1058	1688	1413	1308	1182
QTRT1	546	426	571	969	430	740	516	567
QTRTD1	1157	723	1312	759	1131	1179	1325	1068
R3HCC1	747	361	1003	796	563	886	955	807
R3HCC1L	1447	850	1197	459	814	716	781	711
R3HDM1	1910	1728	1617	1735	1929	1587	1939	2192
R3HDM2	2429	2066	2901	2299	1450	2606	3349	2023
R3HDM4	2281	1725	3132	2814	2798	2326	2981	1671
RAB10	6867	3901	5835	4774	5510	5163	7296	3032
RAB11A	4901	3287	5417	8340	6114	5395	4755	6056
RAB11B	1320	1154	1341	2348	1090	1248	1454	1782
RAB11FIP1	7252	1884	17431	5180	6074	10461	10035	4378
RAB11FIP3	729	584	1116	1139	791	858	925	590
RAB11FIP4	1371	1027	2170	2253	2412	2031	2065	3546
RAB12	1215	707	1132	732	668	888	1333	590
RAB14	3597	1708	3344	2990	3536	3395	3872	2555
RAB18	1124	931	753	1043	1000	708	878	785
RAB1A	2918	2082	1904	2947	2791	2258	2778	2063
RAB1B	3802	2264	4664	4055	2805	3983	4573	3726
RAB21	4032	2050	2973	2563	3350	2477	2864	2024
RAB22A	2054	901	1638	1120	1644	1282	1748	1173
RAB24	706	538	1221	1164	694	1171	1132	608
RAB27A	894	1190	1034	763	1424	1362	1093	833
RAB28	488	400	643	610	826	687	756	523
RAB29	4132	2552	5016	4253	9735	3633	5526	4388
RAB2A	2074	911	1699	2530	2101	1626	2008	1706
RAB2B	785	559	1500	749	1052	1037	1209	797
RAB30	8828	3510	8032	2148	1571	3856	8534	7992
RAB31	3965	1852	2907	1347	1602	2258	2735	1703
RAB33B	785	445	528	264	470	506	453	524
RAB35	1920	2026	3403	3671	1733	2320	2765	1902
RAB39B	1438	840	1722	295	723	1132	1161	462
RAB3D	449	174	431	403	190	570	748	307
RAB3GAP1	4493	2528	4836	1698	3639	3385	3941	2387
RAB3GAP2	2485	1988	2357	1257	4973	1075	1726	2046
RAB3IP	1228	1658	870	800	946	1159	918	820
RAB40C	354	313	396	394	434	342	445	487
RAB4A	734	580	875	530	514	769	668	703
